Komen,Sentimen
jln jatibarupolisi tdk bs gertak gubernur emangny polisi tdk pmbhasan jgn politik atur wilayahhak gubernur tn abang turun temurunpelikperlu sabar  ,positive
cewe lho kayak rasain sibuk jaga rasain sakit haid panik pulang malem gimana orang asing wajar korban takut curhat bela hujat,negative
kepingin gudeg mbarek bu hj amad foto google sengaja biar temanteman jg bayang indah,positive
jln jatibarubagian wilayah tn abangpengaturan wilayah tgg jwb wwnang gubtng abng rumitsejak gub2  trdahuluskrg sedng dibenahiagr bermnfaat pihakmohon yg otakberpikirlah dgn wajarkecuali otak butekya,negative
sharing alam aja kemarin jam 1800 batalin tiket stasiun pasar senen lancar antri rame15 menit beress coba twips jamjam segitu  cc,positive
sekian thread baca thread aneh sih tulis sumpah aneh bgt ngatain lebay aja bikin thread hadeh ga jago nulis tulis ga beranta thread mbak,negative
sharing temen tuh emg bgt lu ngerasa lu berat bgt temen berat dr ngga apa2nya banding,negative
orang pake ponco jas hujan pake kasur ya gara2 saking gak apa2 mamak bilang tuh pernik gak ngalamin madu kayak skrg2 org tidur nya aja pake ponco gimane madu,negative
contoh yg gemar sudut teriak toleran tp gemar tuduh gemar menjudge dasar versi tau,negative
pulang udah h4 lebaran dilema apa2 rumah lebaran buka puasa bareng cuman 3 keluarga sahur,positive
min rakyat indonesia harap nya tinggal tni lihat serang kantor media unsur pidana hina presiden indonesia sah lucu lucu an ,positive
fansite ngejual hasil jepret uang nya lari idol beliin hadiah dsb kpopers ya fansite udh dr jaman kamera bom bening skrg,negative
syukur doa kakek karno anakanak yatim piatu        h,positive
sulit terima nyata anggap interaksi orng golong langsung golong ajar utuh klaim,positive
samanye udeh maling gak si jancok gak si anjing gak si siluman monyet hahahahaha hati maling,negative
ku ken ngamuk bacain komen2 netizen yg mahabenar ya lord ga abis pikir komen2 macem gin yg bikin leceh seksual tenggelam hukum laku sedih rerata yg komen jahat perempuan mbaq2 sehat loh,negative
yg hadir tuk aman nyaman hormat yg,positive
sedap kali kau ya bobok kasur ku tidur kau tidur kau baca pake logat mamak dahlia keluarga badak,negative
